Complex,Subunit Name,Subunit Stoichiometry,Subunit ID
80S Ribosome,RPL31B,1,YLR406C
80S Ribosome,RPS16A,1,YMR143W
80S Ribosome,RPS16B,1,YDL083C
80S Ribosome,RPS26A,1,YGL189C
80S Ribosome,RPS26B,1,YER131W
80S Ribosome,RPL4A,1,YBR031W
80S Ribosome,RPL4B,1,YDR012W
80S Ribosome,RPS15,1,YOL040C
80S Ribosome,RPL30,1,YGL030W
80S Ribosome,RPL29,1,YFR032C-A
80S Ribosome,RPL18A,1,YOL120C
80S Ribosome,RPL12A,1,YEL054C
80S Ribosome,RPL36A,1,YMR194W
80S Ribosome,RPL19A,1,YBR084C-A
80S Ribosome,RPL35A,1,YDL191W
80S Ribosome,RPP1A,1,YDL081C
80S Ribosome,RPL18B,1,YNL301C
80S Ribosome,RPL12B,1,YDR418W
80S Ribosome,RPL36B,1,YPL249C-A
80S Ribosome,RPL19B,1,YBL027W
80S Ribosome,RPL35B,1,YDL136W
80S Ribosome,RPP1B,1,YDL130W
80S Ribosome,RPP2A,1,YOL039W
80S Ribosome,RPL8A,1,YHL033C
80S Ribosome,RPL8B,1,YLL045C
80S Ribosome,RPL5,1,YPL131W
80S Ribosome,RPL14A,1,YKL006W
80S Ribosome,RPL14B,1,YHL001W
80S Ribosome,RPL10,1,YLR075W
80S Ribosome,RPS19A,1,YOL121C
80S Ribosome,RPL24A,1,YGL031C
80S Ribosome,RPS24A,1,YER074W
80S Ribosome,RPS4A,1,YJR145C
80S Ribosome,RPS19B,1,YNL302C
80S Ribosome,RPL24B,1,YGR148C
80S Ribosome,RPS24B,1,YIL069C
80S Ribosome,RPS4B,1,YHR203C
80S Ribosome,RPL39,1,YJL189W
80S Ribosome,RPS14A,1,YCR031C
80S Ribosome,RPS14B,1,YJL191W
80S Ribosome,RPL38,1,YLR325C
80S Ribosome,RPP0,1,YLR340W
80S Ribosome,RPS8A,1,YBL072C
80S Ribosome,RPS8B,1,YER102W
80S Ribosome,RPS9A,1,YPL081W
80S Ribosome,RPS9B,1,YBR189W
80S Ribosome,RPL21A,1,YBR191W
80S Ribosome,RPL21B,1,YPL079W
80S Ribosome,RPS20,1,YHL015W
80S Ribosome,RPS25A,1,YGR027C
80S Ribosome,RPL9A,1,YGL147C
80S Ribosome,RPL16A,1,YIL133C
80S Ribosome,RPL6A,1,YML073C
80S Ribosome,RPS25B,1,YLR333C
80S Ribosome,RPL9B,1,YNL067W
80S Ribosome,RPL16B,1,YNL069C
80S Ribosome,RPL6B,1,YLR448W
80S Ribosome,RPL28,1,YGL103W
80S Ribosome,RPL1A,1,YPL220W
80S Ribosome,RPL11A,1,YPR102C
80S Ribosome,RPL27A,1,YHR010W
80S Ribosome,RPL20A,1,YMR242C
80S Ribosome,RPL17A,1,YKL180W
80S Ribosome,RPL1B,1,YGL135W
80S Ribosome,RPL11B,1,YGR085C
80S Ribosome,RPL27B,1,YDR471W
80S Ribosome,RPL20B,1,YOR312C
80S Ribosome,RPL17B,1,YJL177W
80S Ribosome,RPL32,1,YBL092W
80S Ribosome,RPL3,1,YOR063W
80S Ribosome,RPS7A,1,YOR096W
80S Ribosome,RPS7B,1,YNL096C
80S Ribosome,RPS3,1,YNL178W
80S Ribosome,RPS18A,1,YDR450W
80S Ribosome,RPL26A,1,YLR344W
80S Ribosome,RPL7A,1,YGL076C
80S Ribosome,RPS1A,1,YLR441C
80S Ribosome,RPL41A,1,YDL184C
